------- Iteracion 0 --------
Original,Colision,Equivalente,Hash
------- Iteracion 40 --------
Original,Colision,Equivalente,Hash
456789,708431,0,0
987654,756825,0,0
123456,655705,0,0
937586,861637,0,0
998263,970122,0,0
712874,381264,0,0
728471,059096,0,0
876543,559132,0,0
238745,204412,0,0
665534,230516,665534,2097854040
918237,836197,0,0
564738,583074,0,0
163937,706063,0,0
228844,506927,0,0
947264,094010,0,0
------- Iteracion 41 --------
Original,Colision,Equivalente,Hash
456789,383608,0,0
987654,199337,0,0
123456,764380,0,0
937586,413432,0,0
998263,972854,0,0
712874,527472,0,0
728471,050487,0,0
876543,377948,0,0
238745,750678,0,0
665534,162784,665534,2097854040
918237,520259,0,0
564738,419243,0,0
163937,204553,0,0
228844,670792,0,0
947264,672725,0,0
------- Iteracion 42 --------
Original,Colision,Equivalente,Hash
456789,350435,0,0
987654,757272,0,0
123456,673430,0,0
937586,861637,0,0
998263,298020,0,0
712874,515787,0,0
728471,957686,0,0
876543,088941,0,0
238745,074460,0,0
665534,962168,665534,2097854040
918237,969514,0,0
564738,456744,0,0
163937,461292,0,0
228844,855600,0,0
947264,450573,0,0
------- Iteracion 43 --------
Original,Colision,Equivalente,Hash
456789,425917,0,0
987654,670271,0,0
123456,071485,0,0
937586,781320,0,0
998263,367957,0,0
712874,712526,0,0
728471,311669,0,0
876543,376690,0,0
238745,102461,0,0
665534,590561,665534,2097854040
918237,755708,0,0
564738,045133,0,0
163937,056149,0,0
228844,368385,0,0
947264,645915,0,0
------- Iteracion 44 --------
Original,Colision,Equivalente,Hash
456789,838323,0,0
987654,141019,0,0
123456,717923,0,0
937586,640211,0,0
998263,657969,0,0
712874,695880,0,0
728471,511267,0,0
876543,417192,0,0
238745,860936,0,0
665534,512102,665534,2097854040
918237,847787,0,0
564738,631308,0,0
163937,946340,0,0
228844,248635,0,0
947264,290412,0,0
------- Iteracion 45 --------
Original,Colision,Equivalente,Hash
456789,710379,0,0
987654,922648,0,0
123456,255103,0,0
937586,924203,0,0
998263,157473,0,0
712874,128262,0,0
728471,387170,0,0
876543,201470,0,0
238745,276351,0,0
665534,539895,665534,2097854040
918237,316735,0,0
564738,689633,0,0
163937,862996,0,0
228844,463835,0,0
947264,690533,0,0
------- Iteracion 46 --------
Original,Colision,Equivalente,Hash
456789,879605,0,0
987654,199337,0,0
123456,843161,0,0
937586,123816,0,0
998263,879110,0,0
712874,476106,0,0
728471,209756,0,0
876543,140435,0,0
238745,229922,0,0
665534,561686,665534,2097854040
918237,372130,0,0
564738,021423,0,0
163937,759285,0,0
228844,843076,0,0
947264,841435,0,0
------- Iteracion 47 --------
Original,Colision,Equivalente,Hash
456789,505117,0,0
987654,882620,0,0
123456,836701,0,0
937586,803102,0,0
998263,245712,0,0
712874,235995,0,0
728471,242529,0,0
876543,618597,0,0
238745,057749,0,0
665534,658169,665534,2097854040
918237,525378,0,0
564738,941555,0,0
163937,534896,0,0
228844,642046,0,0
947264,127243,0,0
------- Iteracion 48 --------
Original,Colision,Equivalente,Hash
456789,495794,0,0
987654,627435,0,0
123456,481096,0,0
937586,020310,0,0
998263,372705,0,0
712874,128262,0,0
728471,354035,0,0
876543,611483,0,0
238745,930429,0,0
665534,944856,665534,2097854040
918237,473591,0,0
564738,689633,0,0
163937,171636,0,0
228844,758271,0,0
947264,450393,0,0
------- Iteracion 49 --------
Original,Colision,Equivalente,Hash
456789,998331,0,0
987654,875284,0,0
123456,168107,0,0
937586,020310,0,0
998263,462802,0,0
712874,770072,0,0
728471,203340,0,0
876543,225982,0,0
238745,375953,0,0
665534,960513,665534,2097854040
918237,662197,0,0
564738,261258,0,0
163937,891125,0,0
228844,145986,0,0
947264,428229,0,0
